filename	date	plant	is_enriched
SRR14530874_1.fastq.gz	2020-09-25	NC	0
SRR14530874_2.fastq.gz	2020-09-25	NC	0
SRR14530749_1.fastq.gz	2020-10-09	NC	0
SRR14530749_2.fastq.gz	2020-10-09	NC	0
SRR14530810_1.fastq.gz	2020-10-09	NC	1
SRR14530810_2.fastq.gz	2020-10-09	NC	1
SRR14530748_1.fastq.gz	2020-10-23	NC	0
SRR14530748_2.fastq.gz	2020-10-23	NC	0
SRR14530809_1.fastq.gz	2020-10-23	NC	1
SRR14530809_2.fastq.gz	2020-10-23	NC	1
SRR14530875_1.fastq.gz	2020-11-06	NC	0
SRR14530875_2.fastq.gz	2020-11-06	NC	0
SRR14530742_1.fastq.gz	2020-08-12	OC	0
SRR14530742_2.fastq.gz	2020-08-12	OC	0
SRR14530804_1.fastq.gz	2020-08-12	OC	1
SRR14530804_2.fastq.gz	2020-08-12	OC	1
SRR14530741_1.fastq.gz	2020-08-19	OC	0
SRR14530741_2.fastq.gz	2020-08-19	OC	0
SRR14530803_1.fastq.gz	2020-08-19	OC	1
SRR14530803_2.fastq.gz	2020-08-19	OC	1
SRR14530740_1.fastq.gz	2020-08-26	OC	0
SRR14530740_2.fastq.gz	2020-08-26	OC	0
SRR14530802_1.fastq.gz	2020-08-26	OC	1
SRR14530802_2.fastq.gz	2020-08-26	OC	1
SRR14530739_1.fastq.gz	2020-09-02	OC	0
SRR14530739_2.fastq.gz	2020-09-02	OC	0
SRR14530800_1.fastq.gz	2020-09-02	OC	1
SRR14530800_2.fastq.gz	2020-09-02	OC	1
SRR14530738_1.fastq.gz	2020-09-03	OC	0
SRR14530738_2.fastq.gz	2020-09-03	OC	0
SRR14530799_1.fastq.gz	2020-09-03	OC	1
SRR14530799_2.fastq.gz	2020-09-03	OC	1
SRR14530737_1.fastq.gz	2020-09-16	OC	0
SRR14530737_2.fastq.gz	2020-09-16	OC	0
SRR14530798_1.fastq.gz	2020-09-16	OC	1
SRR14530798_2.fastq.gz	2020-09-16	OC	1
SRR14530736_1.fastq.gz	2020-09-23	OC	0
SRR14530736_2.fastq.gz	2020-09-23	OC	0
SRR14530797_1.fastq.gz	2020-09-23	OC	1
SRR14530797_2.fastq.gz	2020-09-23	OC	1
SRR14530734_1.fastq.gz	2020-09-30	OC	0
SRR14530734_2.fastq.gz	2020-09-30	OC	0
SRR14530796_1.fastq.gz	2020-09-30	OC	1
SRR14530796_2.fastq.gz	2020-09-30	OC	1
SRR14530743_1.fastq.gz	2020-10-07	OC	0
SRR14530743_2.fastq.gz	2020-10-07	OC	0
SRR14530805_1.fastq.gz	2020-10-07	OC	1
SRR14530805_2.fastq.gz	2020-10-07	OC	1
SRR21452135_1.fastq.gz	2020-10-21	OC	0
SRR21452135_2.fastq.gz	2020-10-21	OC	0
SRR14530835_1.fastq.gz	2020-11-04	OC	1
SRR14530835_2.fastq.gz	2020-11-04	OC	1
SRR14530869_1.fastq.gz	2020-11-04	OC	0
SRR14530869_2.fastq.gz	2020-11-04	OC	0
SRR14530868_1.fastq.gz	2020-11-09	OC	0
SRR14530868_2.fastq.gz	2020-11-09	OC	0
SRR14530836_1.fastq.gz	2020-11-11	OC	1
SRR14530836_2.fastq.gz	2020-11-11	OC	1
SRR14530873_1.fastq.gz	2020-11-11	OC	0
SRR14530873_2.fastq.gz	2020-11-11	OC	0
SRR14530871_1.fastq.gz	2020-11-18	OC	0
SRR14530871_2.fastq.gz	2020-11-18	OC	0
SRR14530870_1.fastq.gz	2020-11-25	OC	0
SRR14530870_2.fastq.gz	2020-11-25	OC	0
SRR14530834_1.fastq.gz	2020-12-14	OC	1
SRR14530834_2.fastq.gz	2020-12-14	OC	1
SRR14530867_1.fastq.gz	2020-12-14	OC	0
SRR14530867_2.fastq.gz	2020-12-14	OC	0
SRR14530833_1.fastq.gz	2020-12-21	OC	1
SRR14530833_2.fastq.gz	2020-12-21	OC	1
SRR14530866_1.fastq.gz	2020-12-21	OC	0
SRR14530866_2.fastq.gz	2020-12-21	OC	0
SRR14530732_1.fastq.gz	2020-08-13	PL	0
SRR14530732_2.fastq.gz	2020-08-13	PL	0
SRR14530794_1.fastq.gz	2020-08-13	PL	1
SRR14530794_2.fastq.gz	2020-08-13	PL	1
SRR14530731_1.fastq.gz	2020-08-27	PL	0
SRR14530731_2.fastq.gz	2020-08-27	PL	0
SRR14530793_1.fastq.gz	2020-08-27	PL	1
SRR14530793_2.fastq.gz	2020-08-27	PL	1
SRR14530730_1.fastq.gz	2020-09-10	PL	0
SRR14530730_2.fastq.gz	2020-09-10	PL	0
SRR14530792_1.fastq.gz	2020-09-10	PL	1
SRR14530792_2.fastq.gz	2020-09-10	PL	1
SRR14530729_1.fastq.gz	2020-09-24	PL	0
SRR14530729_2.fastq.gz	2020-09-24	PL	0
SRR14530791_1.fastq.gz	2020-09-24	PL	1
SRR14530791_2.fastq.gz	2020-09-24	PL	1
SRR14530733_1.fastq.gz	2020-10-22	PL	0
SRR14530733_2.fastq.gz	2020-10-22	PL	0
SRR14530795_1.fastq.gz	2020-10-22	PL	1
SRR14530795_2.fastq.gz	2020-10-22	PL	1
SRR14530827_1.fastq.gz	2020-11-05	PL	1
SRR14530827_2.fastq.gz	2020-11-05	PL	1
SRR14530860_1.fastq.gz	2020-11-05	PL	0
