run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083778	SAMN32742946	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/078/SRR23083778/SRR23083778.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/078/SRR23083778/SRR23083778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/078/SRR23083778/SRR23083778_2.fastq.gz	J_10922	2023-01-16
SRR23083779	SAMN32742946	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/079/SRR23083779/SRR23083779_1.fastq.gz	J_10922	2023-01-16
SRR23083780	SAMN32742945	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/080/SRR23083780/SRR23083780.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/080/SRR23083780/SRR23083780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/080/SRR23083780/SRR23083780_2.fastq.gz	J_10222	2023-01-16
SRR23083781	SAMN32742945	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/081/SRR23083781/SRR23083781_1.fastq.gz	J_10222	2023-01-16
SRR23083782	SAMN32742944	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/082/SRR23083782/SRR23083782.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/082/SRR23083782/SRR23083782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/082/SRR23083782/SRR23083782_2.fastq.gz	I_122621	2023-01-16
SRR23083783	SAMN32742944	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/083/SRR23083783/SRR23083783_1.fastq.gz	I_122621	2023-01-16
SRR23083784	SAMN32742943	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/084/SRR23083784/SRR23083784.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/084/SRR23083784/SRR23083784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/084/SRR23083784/SRR23083784_2.fastq.gz	I_121921	2023-01-16
SRR23083785	SAMN32742943	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/085/SRR23083785/SRR23083785_1.fastq.gz	I_121921	2023-01-16
SRR23083786	SAMN32742942	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/086/SRR23083786/SRR23083786.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/086/SRR23083786/SRR23083786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/086/SRR23083786/SRR23083786_2.fastq.gz	I_121221	2023-01-16
SRR23083787	SAMN32742898	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/087/SRR23083787/SRR23083787.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/087/SRR23083787/SRR23083787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/087/SRR23083787/SRR23083787_2.fastq.gz	A_121921	2023-01-16
SRR23083788	SAMN32742942	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/088/SRR23083788/SRR23083788_1.fastq.gz	I_121221	2023-01-16
SRR23083789	SAMN32742941	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/089/SRR23083789/SRR23083789.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/089/SRR23083789/SRR23083789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/089/SRR23083789/SRR23083789_2.fastq.gz	I_120521	2023-01-16
SRR23083790	SAMN32742911	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/090/SRR23083790/SRR23083790.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/090/SRR23083790/SRR23083790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/090/SRR23083790/SRR23083790_2.fastq.gz	D_10922	2023-01-18
SRR23083791	SAMN32742941	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/091/SRR23083791/SRR23083791_1.fastq.gz	I_120521	2023-01-16
SRR23083792	SAMN32742895	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/092/SRR23083792/SRR23083792.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/092/SRR23083792/SRR23083792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/092/SRR23083792/SRR23083792_2.fastq.gz	A_10922	2023-01-16
SRR23083793	SAMN32742911	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/093/SRR23083793/SRR23083793_1.fastq.gz	D_10922	2023-01-16
SRR23083794	SAMN32742910	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/094/SRR23083794/SRR23083794.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/094/SRR23083794/SRR23083794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/094/SRR23083794/SRR23083794_2.fastq.gz	C_121921	2023-01-18
SRR23083795	SAMN32742908	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/095/SRR23083795/SRR23083795.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/095/SRR23083795/SRR23083795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/095/SRR23083795/SRR23083795_2.fastq.gz	C_120521	2023-01-18
SRR23083796	SAMN32742908	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/096/SRR23083796/SRR23083796_1.fastq.gz	C_120521	2023-01-16
SRR23083797	SAMN32742907	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/097/SRR23083797/SRR23083797.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/097/SRR23083797/SRR23083797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/097/SRR23083797/SRR23083797_2.fastq.gz	C_10922	2023-01-16
SRR23083798	SAMN32742906	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/098/SRR23083798/SRR23083798.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/098/SRR23083798/SRR23083798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/098/SRR23083798/SRR23083798_2.fastq.gz	C_10222	2023-01-18
SRR23083799	SAMN32742905	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/099/SRR23083799/SRR23083799.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/099/SRR23083799/SRR23083799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/099/SRR23083799/SRR23083799_2.fastq.gz	B_122621	2023-01-16
SRR23083800	SAMN32742905	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/000/SRR23083800/SRR23083800_1.fastq.gz	B_122621	2023-01-16
