run_accession	sample_accession	fastq_ftp	sample_alias
SRR14530786	SAMN19167932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/086/SRR14530786/SRR14530786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/086/SRR14530786/SRR14530786_2.fastq.gz	SB_9_10_2020
SRR14530787	SAMN19167931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/087/SRR14530787/SRR14530787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/087/SRR14530787/SRR14530787_2.fastq.gz	SB_8_27_2020
SRR14530788	SAMN19167930	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/088/SRR14530788/SRR14530788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/088/SRR14530788/SRR14530788_2.fastq.gz	SB_8_13_2020
SRR14530789	SAMN19167929	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/089/SRR14530789/SRR14530789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/089/SRR14530789/SRR14530789_2.fastq.gz	SB_10_22_2020
SRR14530790	SAMN19167893	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530790/SRR14530790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530790/SRR14530790_2.fastq.gz	HTP_8_11_2020
SRR14530791	SAMN19167928	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/091/SRR14530791/SRR14530791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/091/SRR14530791/SRR14530791_2.fastq.gz	PL_9_24_2020
SRR14530792	SAMN19167927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/092/SRR14530792/SRR14530792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/092/SRR14530792/SRR14530792_2.fastq.gz	PL_9_10_2020
SRR14530793	SAMN19167926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/093/SRR14530793/SRR14530793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/093/SRR14530793/SRR14530793_2.fastq.gz	PL_8_27_2020
SRR14530794	SAMN19167925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/094/SRR14530794/SRR14530794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/094/SRR14530794/SRR14530794_2.fastq.gz	PL_8_13_2020
SRR14530795	SAMN19167924	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/095/SRR14530795/SRR14530795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/095/SRR14530795/SRR14530795_2.fastq.gz	PL_10_22_2020
SRR14530796	SAMN19167923	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/096/SRR14530796/SRR14530796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/096/SRR14530796/SRR14530796_2.fastq.gz	OC_9_30_2020
SRR14530797	SAMN19167922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/097/SRR14530797/SRR14530797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/097/SRR14530797/SRR14530797_2.fastq.gz	OC_9_23_2020
SRR14530798	SAMN19167921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/098/SRR14530798/SRR14530798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/098/SRR14530798/SRR14530798_2.fastq.gz	OC_9_16_2020
SRR14530799	SAMN19167920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/099/SRR14530799/SRR14530799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/099/SRR14530799/SRR14530799_2.fastq.gz	OC_9_03_2020
SRR14530800	SAMN19167919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/000/SRR14530800/SRR14530800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/000/SRR14530800/SRR14530800_2.fastq.gz	OC_9_02_2020
SRR14530801	SAMN19167892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/001/SRR14530801/SRR14530801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/001/SRR14530801/SRR14530801_2.fastq.gz	HTP_10_27_2020
SRR14530802	SAMN19167918	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/002/SRR14530802/SRR14530802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/002/SRR14530802/SRR14530802_2.fastq.gz	OC_8_26_2020
SRR14530803	SAMN19167917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/003/SRR14530803/SRR14530803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/003/SRR14530803/SRR14530803_2.fastq.gz	OC_8_19_2020
SRR14530804	SAMN19167916	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/004/SRR14530804/SRR14530804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/004/SRR14530804/SRR14530804_2.fastq.gz	OC_8_12_2020
SRR14530805	SAMN19167915	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/005/SRR14530805/SRR14530805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/005/SRR14530805/SRR14530805_2.fastq.gz	OC_10_07_2020
SRR14530806	SAMN19167914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/006/SRR14530806/SRR14530806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/006/SRR14530806/SRR14530806_2.fastq.gz	NC_9_11_2020
